trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.95, 'e': 0.9999999996867754}",20,0,-119.05171243258188,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.95, 'e': 0.999999999696966}",25,0,-129.2728188178953,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.95, 'e': 0.9999999997027933}",25,0,-64.75391094328107,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.95, 'e': 0.9999999997037792}",20,0,-125.65660553145456,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.95, 'e': 0.9999999996993931}",30,0,-158.05741308836622,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
6,False,"{'a': 0.95, 'e': 0.9999999996890463}",25,0,-105.269483381042,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.95, 'e': 0.9999999996720856}",35,22,-31.87469891227216,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.95, 'e': 0.9999999996477857}",20,0,-61.613678546836155,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.95, 'e': 0.9999999996153428}",35,4,-129.7769686453246,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 3}",1
10,False,"{'a': 0.95, 'e': 0.999999999573864}",20,0,-91.56950697912046,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.95, 'e': 0.9999999995223592}",20,0,-78.55649434462151,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.95, 'e': 0.9999999994597293}",20,0,-50.43958595746509,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.95, 'e': 0.999999999384755}",20,0,-167.4999006170638,"{0: 8, 1: 1, 2: 7, 3: 3, 4: 1}",0
14,False,"{'a': 0.95, 'e': 0.9999999992960835}",30,0,-197.7444188947474,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.95, 'e': 0.9999999991922137}",25,0,-196.3462777937367,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
